,value
2014-01-01,18.38
2014-02-01,13.71
2014-03-01,13.06
2014-04-01,14.16
2014-05-01,16.1
2014-06-01,17.13
2014-07-01,36.83
2014-08-01,53.64
2014-09-01,35.89
2014-10-01,28.05
2014-11-01,20.25
2014-12-01,19.13
2015-01-01,21.32
2015-02-01,21.3
2015-03-01,19.22
2015-04-01,16.57
2015-05-01,19.91
2015-06-01,21.25
2015-07-01,24.11
2015-08-01,23.61
2015-09-01,23.15
2015-10-01,23.94
2015-11-01,30.95
2015-12-01,27.0
2016-01-01,23.87
2016-02-01,19.03
2016-03-01,15.74
2016-04-01,16.56
2016-05-01,20.61
2016-06-01,39.58
2016-07-01,46.79
2016-08-01,30.42
2016-09-01,24.33
2016-10-01,22.01
2016-11-01,18.68
2016-12-01,14.32
2017-01-01,12.18
2017-02-01,12.6
2017-03-01,13.35
2017-04-01,15.29
2017-05-01,15.67
2017-06-01,18.49
2017-07-01,59.22
2017-08-01,56.92
2017-09-01,37.03
2017-10-01,31.86
2017-11-01,44.31
2017-12-01,34.08
2018-01-01,21.19
2018-02-01,17.87
2018-03-01,15.51
2018-04-01,14.63
2018-05-01,16.14
2018-06-01,21.31
2018-07-01,27.86
2018-08-01,27.19
2018-09-01,23.38
2018-10-01,21.32
2018-11-01,20.15
2018-12-01,19.22
2019-01-01,19.73
2019-02-01,18.18
2019-03-01,20.25
2019-04-01,21.82
2019-05-01,27.57
2019-06-01,32.76
2019-07-01,32.73
2019-08-01,34.75
2019-09-01,27.71
2019-10-01,34.22
2019-11-01,33.76
2019-12-01,24.1
2020-01-01,22.37
2020-02-01,17.57
2020-03-01,16.84
2020-04-01,20.39
2020-05-01,19.7
2020-06-01,24.5
2020-07-01,48.51
2020-08-01,44.54
2020-09-01,47.89
2020-10-01,42.8
2020-11-01,38.62
2020-12-01,31.68
2021-01-01,21.82
2021-02-01,20.44
2021-03-01,16.36
2021-04-01,17.73
2021-05-01,19.1
2021-06-01,21.0
2021-07-01,25.79
2021-08-01,26.95
2021-09-01,23.72
2021-10-01,37.79
2021-11-01,48.41
2021-12-01,41.64
2022-01-01,29.86
2022-02-01,26.24
2022-03-01,24.46
2022-04-01,25.17
2022-05-01,35.33
2022-06-01,48.16
2022-07-01,38.99
2022-08-01,32.03
2022-09-01,35.64
2022-10-01,39.27
2022-11-01,30.87
2022-12-01,21.78
2023-01-01,17.99
2023-02-01,18.24
2023-03-01,18.5
2023-04-01,18.71
2023-05-01,19.04
2023-06-01,27.82
2023-07-01,109.18
2023-08-01,103.03
2023-09-01,34.33
2023-10-01,24.61
2023-11-01,33.89
2023-12-01,30.16
2024-01-01,27.3
2024-02-01,31.1
2024-03-01,29.58
2024-04-01,27.89
2024-05-01,28.57
2024-06-01,39.17
2024-07-01,66.78
2024-08-01,45.36
2024-09-01,42.64
2024-10-01,58.81
2024-11-01,56.88
2024-12-01,48.79
2025-01-01,26.47
2025-02-01,22.386246578796225
2025-03-01,21.745903111034792
2025-04-01,20.13703334390764
2025-05-01,18.31027044198494
2025-06-01,17.057915369643524
2025-07-01,17.015971760072432
2025-08-01,21.604727851954415
2025-09-01,33.319942587183455
2025-10-01,44.792451571507215
2025-11-01,42.57748792279223
2025-12-01,37.19574326637651
2026-01-01,33.15082074336775
